Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú
BKA,7850103_ET-E5x,Kỹ thuật Y sinh (CT tiên tiến),A19,21.1,2020,KTTD
BKA,7850103_ET-E5y,Kỹ thuật Y sinh (CT tiên tiến),A00;A01,23.89,2022,
BKA,7850103_ET-E9,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT,A00;A01,24.95,2019,
BKA,7850103_ET-E9,Hệ thống nhúng thông minh và IoT (Ct tiên tiến),A00;A01;D28,27.51,2020,Toán
BKA,7850103_ET-E9,Hệ thống nhúng thông minh và IoT (Chương trình tiên tiến),A00;A01;D28,26.93,2021,
BKA,7850103_ET-E9,Hệ thống nhúng thông minh và IoT (tăng cường tiếng Nhật),A00;A01;D28,26.45,2023,
BKA,7850103_ET-E9,Hệ thống nhúng thông minh và IoT (CT tiên tiến),A00;A01;D28,27.21,2024,
BKA,7850103_ET-E9x,Hệ thống nhúng thông minh và IoT (Ct tiên tiến),A19,23.3,2020,KTTD
BKA,7850103_ET-E9y,"Hệ thống nhúng thông minh và IoT
(CT tiên tiến)",A00;A01;D28,24.14,2022,
BKA,7850103_ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (Đức),A00;A01,20.3,2019,
BKA,7850103_ET-LUH,Điện tử - Viễn thông -hợp tác với ĐH Leibniz Hannover (Đức),A00;A01;D26,23.85,2020,
BKA,7850103_ET-LUH,Điện tử Viễn thông-Leibniz Hannover (Đức),A00;A01;D26,25.13,2021,
BKA,7850103_ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),A00;A01;D26,24.3,2023,
BKA,7850103_ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),A00;A01;D26,25.65,2024,
BKA,7850103_ET-LUHY,"Điện tử - Viễn thông - hợp tác với ĐH Leibniz
Hannover (Đức)",A00;A01;D26,23.15,2022,
BKA,7850103_ET-LUHx,Điện tử - Viễn thông -hợp tác với ĐH Leibniz Hannover (Đức),A19,19.0,2020,KTTD
BKA,7850103_ET1,Kỹ thuật Điện tử - Viễn thông,A00;A01,24.8,2019,
BKA,7850103_ET1,Kỹ thuật Điện tử - Viễn thông,A00;A01,27.3,2020,Toán
BKA,7850103_ET1,Kỹ thuật Điện tử Viễn thông,A00;A01,26.8,2021,
BKA,7850103_ET1,Kỹ thuật Điện tử-Viễn thông,A00;A01,26.46,2023,
BKA,7850103_ET1,Kỹ thuật Điện tử - Viễn thông,A00;A01,27.41,2024,
BKA,7850103_ET1x,Kỹ thuật Điện tử - Viễn thông,A19,23.0,2020,KTTD
BKA,7850103_ET1y,Kỹ thuật Điện tử - Viễn thông,A00;A01,24.5,2022,
BKA,7850103_ET2,Kỹ thuật Y sinh,A00;A01;B00,25.04,2023,
BKA,7850103_ET2,Kỹ thuật Y sinh,A00;A01;B00,25.8,2024,
BKA,7850103_ET2y,Kỹ thuật Y sinh (mới),A00;A01,23.15,2022,
BKA,7850103_EV1,Kỹ thuật Môi trường,A00;B00;D07,20.2,2019,
